Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
GEO,915,Georgia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19,2.47,7.95,3.14,4.16,2.59,2.12,-0.23,0.82,3.88,2.3,6.31,2.64,2.31,0.96,8.95
DEU,134,Germany,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,3.46,3.06,2.11,1.07,1.05,1.65,0.89,0.51,1.02,1.33,1.79,0.96,2.09,1.08,0.72,2.26,1.62,0.52,1.14,1.4,1.64,0.85,0.92,1.04,0.72,1.45,1.62,1.28,0.11,
GRC,174,Greece,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,3.19,3.23,3,3.21,3.43,2.5,2.77,3.08,1.68,5.57,2.45,0.43,-2.25,-1.05,-1.88,-0.59,1.16,0.78,0.41,,
GRD,328,Grenada,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,2.41,1.86,-0.23,2.21,2.66,5.21,3.51,1.35,3.08,3.28,-0.59,-2.26,0.19,4.9,1.18,0.3,0.99,,
GTM,258,Guatemala,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,1.75,0.86,2.19,2.72,2.34,2.17,2.37,3.88
GIN,656,Guinea,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12,24.04,2.32,13.32,19.33,15.6,10.77,7.1,9.21,6.35,6.75,8.1,8.37,10.09,
HTI,263,Haiti,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42,7.02,13.2,15.44,6.41,26.97,23.63,18.22,10.3,5.13,8.38,2.67,3.24,4.07,4.27,3.42,4.03,6.24,9.61,9.43,10.7,15.07,20.26,
HND,268,Honduras,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,7.33,8.28,8.29,8.28,6.07,5.64,8.5,6.21,4.87,6.54,6.62,5.18,6.22,3.46,4.11,4.83,4.87,4.93,3.88,5.97
HUN,944,Hungary,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34,3.3,5.46,2.44,5.49,3.54,2.48,0.05,0.38,2.62,2.71,2.99,2.37,3.72
ISL,176,Iceland,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,2.54,2.79,4.96,4.92,11.79,13.58,7.26,3.48,4.96,3.55,1.44,0.16,0.49,0.17,1.73,2.64,2.43,3.91
IRN,429,"Iran, Islamic Rep.",Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84,13.09,19.36,11.82,11.93,38.01,28.29,41.7,16.95,10.97,7.19,6.29,18.66,41.94,52.92,
IRQ,433,Iraq,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,0.36,1.24,0.3,1.62,
IRL,178,Ireland,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,8.56,5.14,4.35,3.07,2.6,3.69,2.63,3.52,3.2,2.49,3,2.34,1.94,1.44,2.39,2.75,5.4,3.61,5.43,4.57,2.32,1.69,2.39,2.71,2.65,-1.73,-0.6,1.63,2.1,0.38,0.68,-0.25,0.34,0.52,0.19,0.77,-0.01,1.19
ITA,136,Italy,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,2.17,1.88,2.35,2.41,2.45,2.46,2.25,2.12,1.7,1.46,2.4,0.62,1.92,2.54,2.63,0.81,0.3,-0.12,0.04,0.98,0.93,0.49,0.55,0.55
JPN,158,Japan,Inflation,Estimated Core Consumer Price Inflation,,6.27,4.05,11.56,24.28,11.6,9.19,7.93,3.86,3.47,5.57,4.47,2.78,1.79,2.66,2.42,1.06,0.78,0.5,2.41,2.57,2.57,2.09,0.85,0.18,-0.4,-0.3,1.55,0.51,-0.17,-0.66,-1.34,-1.15,-0.35,-0.35,-0.12,-0.17,-0.07,0.73,-1.96,-1.09,-0.67,-0.52,0.27,2.8,0.57,0.11,0.34,0.78,0.43,,
JOR,439,Jordan,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,9.14,-1.47,5.22,4.27,5.02,4.28,3.92,-3.08,0.29,6.37,5.84,0.74,-0.1,
KAZ,916,Kazakhstan,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,3.35,4.2,4.07,6.44,-4.3,-2.7,3.85,1,2.63,1,2.18,-2.38,,
KEN,664,Kenya,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,2.98,3.22,7.1,6.01,8.41,8.22,6.24,5.22,5.64,5.03,5.6,4.4,6.72,0.75,2.3,3.15,2.09,2.92,2.21,2.9,2.62,2.64,4.68,1.66,1.96,2.52,0.87,0.77,1.12,0.8,1.07,1.54,1.28,0.26,4.43,
KOR,542,"Korea, Rep.",Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,0.25,2.8,-1.94,1.86,3.35,2.79,1.76,0.19,-2.08,1.62,0.63,1.47,0.28,,
KWT,443,Kuwait,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,3.21,1.58,2.12,1.75,1.69,2.81,1.66,2.14,0.3,
LAO,544,Lao PDR,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62,1.22,4.18,-2.4,4.2,5.32,2.28,0.44,1.42,-2.4,-0.95,1.73,2.82,2.3,1.85,4.53
LVA,941,Latvia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,21.25,14.08,7.96,7.17,4.73,-0.79,0.19,2.77,3.79,3.78,1.53,3.01,6.07,6.62,-1.71,-2.46,0.42,-1.85,1.7,0.84,0.05,-0.38,4.61,1.98,,1.9
LBN,446,Lebanon,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.88,-0.13,4.2,6.1,3.27,147.1,
LSO,666,Lesotho,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,3.43,6.19,8.09,3.71,2.22,2.83,3.37,4.89,3.06,4,3.3,3.44,3.39,2.41,
LBR,668,Liberia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,12.33,15.22,8.49,6.23,4.02,6.63,12.94,7.57,13.82,19.06,27.47,,,
LTU,946,Lithuania,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,80.97,33.48,18.97,11.64,11.23,7.3,4.05,-2.47,1.36,2.81,-0.48,0.01,-0.92,-4.84,0.61,7.49,3.48,-3.73,2.44,0.13,-0.78,-0.01,1.05,4.61,4.47,1.39,0.5,7.15
LUX,137,Luxembourg,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,1.15,0.78,0.91,2.55,2.36,2.01,1.93,2.14,1.86,2.13,1.87,2.1,0.7,2.14,2.95,2.49,1.51,0.95,0.67,0.36,1.49,1.06,1.79,0.68,
MDG,674,Madagascar,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.87,20.62,-1.83,4.07,8.13,14.26,6.7,7.36,8.54,11.94,4.92,5.54,7.08,6.87,6.93,3.59,6.72,6,4.75,4.6,
MWI,676,Malawi,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.81,14.66,8.55,11.7,3.27,-1.35,
